	SubjectID1	SubjectID2	Group1	Group2	Distance
0	L1S76	L1S57	No	No	0.09152484685182571
1	L1S105	L1S57	No	No	0.07461453229188919
2	L1S105	L1S76	No	No	0.1000532507896423
3	L2S155	L1S57	No	No	0.8099241256713867
4	L2S155	L1S76	No	No	0.8394315242767334
5	L2S155	L1S105	No	No	0.8100284337997437
6	L2S175	L1S57	No	No	0.8523163199424744
7	L2S175	L1S76	No	No	0.8942707777023315
8	L2S175	L1S105	No	No	0.8623525500297546
9	L2S175	L2S155	No	No	0.2628147602081299
10	L2S204	L1S57	No	No	0.6614542603492737
11	L2S204	L1S76	No	No	0.6761050820350647
12	L2S204	L1S105	No	No	0.663256049156189
13	L2S204	L2S155	No	No	0.5002232789993286
14	L2S204	L2S175	No	No	0.624850869178772
15	L2S222	L1S57	No	No	0.6501340270042419
16	L2S222	L1S76	No	No	0.6760020852088928
17	L2S222	L1S105	No	No	0.6543322801589966
18	L2S222	L2S155	No	No	0.4387988746166229
19	L2S222	L2S175	No	No	0.5354116559028625
20	L2S222	L2S204	No	No	0.2371114641427994
21	L3S294	L1S57	No	No	0.8131735920906067
22	L3S294	L1S76	No	No	0.8422425389289856
23	L3S294	L1S105	No	No	0.8137684464454651
24	L3S294	L2S155	No	No	0.1321789920330048
25	L3S294	L2S175	No	No	0.3243213295936584
26	L3S294	L2S204	No	No	0.5028592944145203
27	L3S294	L2S222	No	No	0.4525676965713501
28	L3S313	L1S57	No	No	0.8457975387573242
29	L3S313	L1S76	No	No	0.8795912265777588
30	L3S313	L1S105	No	No	0.8472793102264404
31	L3S313	L2S155	No	No	0.2649910151958466
32	L3S313	L2S175	No	No	0.1243667677044868
33	L3S313	L2S204	No	No	0.6500003337860107
34	L3S313	L2S222	No	No	0.5738645195960999
35	L3S313	L3S294	No	No	0.3210279047489166
36	L3S341	L1S57	No	No	0.6139039397239685
37	L3S341	L1S76	No	No	0.6475631594657898
38	L3S341	L1S105	No	No	0.6254231929779053
39	L3S341	L2S155	No	No	0.438410609960556
40	L3S341	L2S175	No	No	0.5029135942459106
41	L3S341	L2S204	No	No	0.2421217262744904
42	L3S341	L2S222	No	No	0.2218300700187683
43	L3S341	L3S294	No	No	0.4513297379016876
44	L3S341	L3S313	No	No	0.5218064785003662
45	L3S360	L1S57	No	No	0.630556046962738
46	L3S360	L1S76	No	No	0.6545244455337524
47	L3S360	L1S105	No	No	0.636816680431366
48	L3S360	L2S155	No	No	0.4335613250732422
49	L3S360	L2S175	No	No	0.5432665348052979
50	L3S360	L2S204	No	No	0.2043474614620209
51	L3S360	L2S222	No	No	0.1618908792734146
52	L3S360	L3S294	No	No	0.4293230772018433
53	L3S360	L3S313	No	No	0.5756211876869202
54	L3S360	L3S341	No	No	0.2067453563213348
55	L5S155	L1S57	No	No	0.6848112940788269
56	L5S155	L1S76	No	No	0.7240393757820129
57	L5S155	L1S105	No	No	0.6952625513076782
58	L5S155	L2S155	No	No	0.5537008047103882
59	L5S155	L2S175	No	No	0.5372015833854675
60	L5S155	L2S204	No	No	0.4492165744304657
61	L5S155	L2S222	No	No	0.3906634151935577
62	L5S155	L3S294	No	No	0.5896417498588562
63	L5S155	L3S313	No	No	0.5608997941017151
64	L5S155	L3S341	No	No	0.2903739511966705
65	L5S155	L3S360	No	No	0.3744828999042511
66	L5S174	L1S57	No	No	0.7236948609352112
67	L5S174	L1S76	No	No	0.7660530805587769
68	L5S174	L1S105	No	No	0.7339891195297241
69	L5S174	L2S155	No	No	0.8560518026351929
